DR_NO;Date Rptd;AREA NAME;Crm Cd Desc
220508440;04/27/2022 12:00:00 AM;Harbor     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
230513434;09/12/2023 12:00:00 AM;Harbor     ;BUNCO, GRAND THEFT                                      
220514938;10/16/2022 12:00:00 AM;Harbor     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
220504655;01/20/2022 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
230507674;04/11/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
230510455;06/28/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
220509276;05/18/2022 12:00:00 AM;Harbor     ;CREDIT CARDS, FRAUD USE ($950.01 & OVER)                
220507155;03/24/2022 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
220509193;05/17/2022 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
220506019;02/01/2022 12:00:00 AM;Harbor     ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
220504793;01/22/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
230507982;04/20/2023 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
230506149;02/28/2023 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
230506618;03/13/2023 12:00:00 AM;Harbor     ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               
220515613;11/03/2022 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
220517340;12/23/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
220517192;12/19/2022 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
220512901;08/24/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
220505308;02/02/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
230515145;10/20/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
230507151;03/24/2023 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
230514897;10/19/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
220505934;02/19/2022 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
220508966;05/09/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
220515869;11/11/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
220511322;06/29/2022 12:00:00 AM;Harbor     ;FALSE POLICE REPORT                                     
230516031;11/21/2023 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
220505776;02/14/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
220506283;03/01/2022 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
220505521;02/08/2022 12:00:00 AM;Harbor     ;CREDIT CARDS, FRAUD USE ($950.01 & OVER)                
210505803;02/15/2021 12:00:00 AM;Harbor     ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              
230516282;11/28/2023 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
230504426;01/10/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
220512200;08/05/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
220504759;01/20/2022 12:00:00 AM;Harbor     ;BURGLARY                                                
220513949;09/20/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
220510809;06/30/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
220515053;10/19/2022 12:00:00 AM;Harbor     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
230506258;03/01/2023 12:00:00 AM;Harbor     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
220509311;05/19/2022 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
210505151;12/18/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
230510016;06/09/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
220509042;05/12/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
230515197;10/29/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
220504487;01/15/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
200517540;12/07/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
220508423;04/26/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
220507203;03/25/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
230505482;02/09/2023 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
